"subjectID","wave","task","nVols","percent"
"FP001",1,"SVC",5,2
"FP002",1,"SVC",0,0
"FP003",1,"SVC",0,0
"FP004",1,"SVC",0,0
"FP005",1,"SVC",20,8.2
"FP006",1,"SVC",0,0
"FP007",1,"SVC",1,0.4
"FP008",1,"SVC",1,0.4
"FP009",1,"SVC",2,0.8
"FP010",1,"SVC",0,0
"FP011",1,"SVC",0,0
"FP012",1,"SVC",2,0.8
"FP013",1,"SVC",19,7.8
"FP014",1,"SVC",1,0.4
"FP015",1,"SVC",0,0
"FP016",1,"SVC",0,0
"FP017",1,"SVC",1,0.4
"FP018",1,"SVC",13,5.3
"FP019",1,"SVC",5,2
"FP020",1,"SVC",0,0
"FP021",1,"SVC",0,0
"FP022",1,"SVC",0,0
"FP023",1,"SVC",2,0.8
"FP024",1,"SVC",0,0
"FP025",1,"SVC",4,1.6
"FP026",1,"SVC",4,1.6
"FP027",1,"SVC",5,2
"FP028",1,"SVC",25,10.2
"FP029",1,"SVC",12,4.9
"FP030",1,"SVC",5,2
"FP031",1,"SVC",6,2.5
"FP032",1,"SVC",0,0
"FP033",1,"SVC",0,0
"FP034",1,"SVC",0,0
"FP035",1,"SVC",0,0
"FP036",1,"SVC",0,0
"FP037",1,"SVC",0,0
"FP038",1,"SVC",7,2.9
"FP039",1,"SVC",0,0
"FP040",1,"SVC",0,0
"FP041",1,"SVC",2,0.8
"FP042",1,"SVC",0,0
"FP043",1,"SVC",0,0
"FP044",1,"SVC",0,0
"FP045",1,"SVC",4,1.6
"FP046",1,"SVC",0,0
"FP047",1,"SVC",0,0
"FP048",1,"SVC",0,0
"FP049",1,"SVC",6,2.5
"FP050",1,"SVC",9,3.7
"FP051",1,"SVC",0,0
"FP052",1,"SVC",1,0.4
"FP053",1,"SVC",0,0
"FP054",1,"SVC",3,1.2
"FP055",1,"SVC",3,1.2
"FP056",1,"SVC",2,0.8
"FP058",1,"SVC",2,0.8
"FP059",1,"SVC",7,2.9
"FP060",1,"SVC",16,6.6
"FP061",1,"SVC",1,0.4
"FP062",1,"SVC",0,0
"FP063",1,"SVC",0,0
"FP064",1,"SVC",0,0
"FP065",1,"SVC",0,0
"FP066",1,"SVC",0,0
"FP067",1,"SVC",1,0.8
"FP068",1,"SVC",10,4.1
"FP069",1,"SVC",0,0
"FP070",1,"SVC",0,0
"FP071",1,"SVC",7,2.9
"FP072",1,"SVC",6,2.5
"FP074",1,"SVC",0,0
"FP075",1,"SVC",10,4.1
"FP076",1,"SVC",0,0
"FP077",1,"SVC",0,0
"FP078",1,"SVC",0,0
"FP079",1,"SVC",6,2.5
"FP080",1,"SVC",6,2.5
"FP081",1,"SVC",0,0
"FP082",1,"SVC",0,0
"FP084",1,"SVC",2,0.8
"FP085",1,"SVC",10,4.1
"FP086",1,"SVC",12,4.9
"FP087",1,"SVC",2,0.8
"FP088",1,"SVC",13,5.3
"FP089",1,"SVC",23,9.4
"FP090",1,"SVC",0,0
"FP091",1,"SVC",38,15.6
"FP092",1,"SVC",2,0.8
"FP093",1,"SVC",3,1.2
"FP094",1,"SVC",0,0
"FP095",1,"SVC",1,0.4
"FP096",1,"SVC",4,1.6
"FP097",1,"SVC",0,0
"FP098",1,"SVC",0,0
"FP100",1,"SVC",0,0
"FP101",1,"SVC",0,0
"FP102",1,"SVC",0,0
"FP103",1,"SVC",12,4.9
"FP104",1,"SVC",0,0
"FP106",1,"SVC",30,12.3
"FP107",1,"SVC",0,0
"FP109",1,"SVC",0,0
"FP110",1,"SVC",0,0
"FP111",1,"SVC",0,0
"FP112",1,"SVC",0,0
"FP113",1,"SVC",0,0
"FP114",1,"SVC",4,3.3
"FP115",1,"SVC",0,0
"FP119",1,"SVC",0,0
"FP120",1,"SVC",0,0
"FP121",1,"SVC",0,0
"FP122",1,"SVC",3,1.2
